StartTime,EndTime,HydroPowerProduction
27/04/2023 06:07,27/04/2023 06:07,1430.4
27/04/2023 06:10,27/04/2023 06:10,1471.5
27/04/2023 06:13,27/04/2023 06:13,1478.8
27/04/2023 06:16,27/04/2023 06:16,1518.5
27/04/2023 06:19,27/04/2023 06:19,1495.7
27/04/2023 06:22,27/04/2023 06:22,1506.5
27/04/2023 06:25,27/04/2023 06:25,1539.3
27/04/2023 06:28,27/04/2023 06:28,1559.7
27/04/2023 06:31,27/04/2023 06:31,1570.7
27/04/2023 06:34,27/04/2023 06:34,1563.7
27/04/2023 06:37,27/04/2023 06:37,1549.8
27/04/2023 06:40,27/04/2023 06:40,1548
27/04/2023 06:43,27/04/2023 06:43,1519.8
27/04/2023 06:46,27/04/2023 06:46,1529.3
27/04/2023 06:49,27/04/2023 06:49,1555
27/04/2023 06:52,27/04/2023 06:52,1574.2
27/04/2023 06:55,27/04/2023 06:55,1605.7
27/04/2023 06:58,27/04/2023 06:58,1603.5
27/04/2023 07:01,27/04/2023 07:01,1661.3
27/04/2023 07:04,27/04/2023 07:04,1622
27/04/2023 07:07,27/04/2023 07:07,1664.1
27/04/2023 07:10,27/04/2023 07:10,1708.8
27/04/2023 07:13,27/04/2023 07:13,1755.8
27/04/2023 07:16,27/04/2023 07:16,1802
27/04/2023 07:19,27/04/2023 07:19,1829.1
27/04/2023 07:22,27/04/2023 07:22,1890.9
27/04/2023 07:25,27/04/2023 07:25,1904.8
27/04/2023 07:28,27/04/2023 07:28,1898.3
27/04/2023 07:31,27/04/2023 07:31,1894.3
27/04/2023 07:34,27/04/2023 07:34,1901.8
27/04/2023 07:37,27/04/2023 07:37,1909.2
27/04/2023 07:40,27/04/2023 07:40,1944.3
27/04/2023 07:43,27/04/2023 07:43,1929
27/04/2023 07:46,27/04/2023 07:46,1901.7
27/04/2023 07:49,27/04/2023 07:49,1859.6
27/04/2023 07:52,27/04/2023 07:52,1834.8
27/04/2023 07:55,27/04/2023 07:55,1800.8
27/04/2023 07:58,27/04/2023 07:58,1795.3
27/04/2023 08:01,27/04/2023 08:01,1743.5
27/04/2023 08:04,27/04/2023 08:04,1749.2
27/04/2023 08:07,27/04/2023 08:07,1761
27/04/2023 08:10,27/04/2023 08:10,1801.2
27/04/2023 08:13,27/04/2023 08:13,1839.3
27/04/2023 08:16,27/04/2023 08:16,1822.3
27/04/2023 08:19,27/04/2023 08:19,1817.8
27/04/2023 08:22,27/04/2023 08:22,1830.5
27/04/2023 08:25,27/04/2023 08:25,1854.8
27/04/2023 08:28,27/04/2023 08:28,1872.3
27/04/2023 08:31,27/04/2023 08:31,1868.2
27/04/2023 08:34,27/04/2023 08:34,1882.5
27/04/2023 08:37,27/04/2023 08:37,1926.8
27/04/2023 08:40,27/04/2023 08:40,1923.3
27/04/2023 08:43,27/04/2023 08:43,1930.5
27/04/2023 08:46,27/04/2023 08:46,1948.5
27/04/2023 08:49,27/04/2023 08:49,1922.3
27/04/2023 08:52,27/04/2023 08:52,1883.5
27/04/2023 08:55,27/04/2023 08:55,1860.7
27/04/2023 08:58,27/04/2023 08:58,1859.5
27/04/2023 09:01,27/04/2023 09:01,1817.4
27/04/2023 09:04,27/04/2023 09:04,1808.7
27/04/2023 09:07,27/04/2023 09:07,1829.2
27/04/2023 09:10,27/04/2023 09:10,1835.2
27/04/2023 09:13,27/04/2023 09:13,1826.5
27/04/2023 09:16,27/04/2023 09:16,1804.8
27/04/2023 09:19,27/04/2023 09:19,1816.6
27/04/2023 09:22,27/04/2023 09:22,1808.3
27/04/2023 09:25,27/04/2023 09:25,1815
27/04/2023 09:28,27/04/2023 09:28,1858.8
27/04/2023 09:31,27/04/2023 09:31,1889.5
27/04/2023 09:34,27/04/2023 09:34,1886
27/04/2023 09:37,27/04/2023 09:37,1865.8
27/04/2023 09:40,27/04/2023 09:40,1869.3
27/04/2023 09:43,27/04/2023 09:43,1939.3
27/04/2023 09:46,27/04/2023 09:46,1961.5
27/04/2023 09:49,27/04/2023 09:49,1977.6
27/04/2023 09:52,27/04/2023 09:52,1972.5
27/04/2023 09:55,27/04/2023 09:55,1949
27/04/2023 09:58,27/04/2023 09:58,1900.6
27/04/2023 10:01,27/04/2023 10:01,1846.7
27/04/2023 10:04,27/04/2023 10:04,1834
27/04/2023 10:07,27/04/2023 10:07,1771.8
27/04/2023 10:10,27/04/2023 10:10,1745.5
27/04/2023 10:13,27/04/2023 10:13,1722.5
27/04/2023 10:16,27/04/2023 10:16,1705
27/04/2023 10:19,27/04/2023 10:19,1645.7
27/04/2023 10:22,27/04/2023 10:22,1636.8
27/04/2023 10:25,27/04/2023 10:25,1645.5
27/04/2023 10:28,27/04/2023 10:28,1614.7
27/04/2023 10:31,27/04/2023 10:31,1623
