StartTime,EndTime,WindPowerGeneration
16/02/2023 18:00,16/02/2023 19:00,3043
16/02/2023 19:00,16/02/2023 20:00,3039
16/02/2023 20:00,16/02/2023 21:00,3057
16/02/2023 21:00,16/02/2023 22:00,3026
16/02/2023 22:00,16/02/2023 23:00,2862
16/02/2023 23:00,17/02/2023 00:00,2526
17/02/2023 00:00,17/02/2023 01:00,2149
17/02/2023 01:00,17/02/2023 02:00,1806
17/02/2023 02:00,17/02/2023 03:00,1629
17/02/2023 03:00,17/02/2023 04:00,1457
17/02/2023 04:00,17/02/2023 05:00,1513
17/02/2023 05:00,17/02/2023 06:00,1562
17/02/2023 06:00,17/02/2023 07:00,1741
17/02/2023 07:00,17/02/2023 08:00,1819
17/02/2023 08:00,17/02/2023 09:00,1828
17/02/2023 09:00,17/02/2023 10:00,1762
17/02/2023 10:00,17/02/2023 11:00,1800
17/02/2023 11:00,17/02/2023 12:00,1731
17/02/2023 12:00,17/02/2023 13:00,1654
17/02/2023 13:00,17/02/2023 14:00,1539
17/02/2023 14:00,17/02/2023 15:00,1479
17/02/2023 15:00,17/02/2023 16:00,1493
17/02/2023 16:00,17/02/2023 17:00,1628
17/02/2023 17:00,17/02/2023 18:00,1804
17/02/2023 18:00,17/02/2023 19:00,1838
17/02/2023 19:00,17/02/2023 20:00,1712
17/02/2023 20:00,17/02/2023 21:00,1828
17/02/2023 21:00,17/02/2023 22:00,2116
17/02/2023 22:00,17/02/2023 23:00,2108
17/02/2023 23:00,18/02/2023 00:00,2250
18/02/2023 00:00,18/02/2023 01:00,2393
18/02/2023 01:00,18/02/2023 02:00,2479
18/02/2023 02:00,18/02/2023 03:00,2627
18/02/2023 03:00,18/02/2023 04:00,2680
18/02/2023 04:00,18/02/2023 05:00,2662
18/02/2023 05:00,18/02/2023 06:00,2524
18/02/2023 06:00,18/02/2023 07:00,2451
18/02/2023 07:00,18/02/2023 08:00,2337
18/02/2023 08:00,18/02/2023 09:00,2279
18/02/2023 09:00,18/02/2023 10:00,2121
18/02/2023 10:00,18/02/2023 11:00,1847
18/02/2023 11:00,18/02/2023 12:00,1624
18/02/2023 12:00,18/02/2023 13:00,1403
18/02/2023 13:00,18/02/2023 14:00,1211
18/02/2023 14:00,18/02/2023 15:00,1050
18/02/2023 15:00,18/02/2023 16:00,1070
18/02/2023 16:00,18/02/2023 17:00,1048
18/02/2023 17:00,18/02/2023 18:00,1059
18/02/2023 18:00,18/02/2023 19:00,1109
18/02/2023 19:00,18/02/2023 20:00,1067
18/02/2023 20:00,18/02/2023 21:00,1006
18/02/2023 21:00,18/02/2023 22:00,926
18/02/2023 22:00,18/02/2023 23:00,883
18/02/2023 23:00,19/02/2023 00:00,888
19/02/2023 00:00,19/02/2023 01:00,934
19/02/2023 01:00,19/02/2023 02:00,983
19/02/2023 02:00,19/02/2023 03:00,1015
19/02/2023 03:00,19/02/2023 04:00,968
19/02/2023 04:00,19/02/2023 05:00,871
19/02/2023 05:00,19/02/2023 06:00,808
19/02/2023 06:00,19/02/2023 07:00,762
19/02/2023 07:00,19/02/2023 08:00,714
19/02/2023 08:00,19/02/2023 09:00,694
19/02/2023 09:00,19/02/2023 10:00,716
19/02/2023 10:00,19/02/2023 11:00,687
19/02/2023 11:00,19/02/2023 12:00,572
19/02/2023 12:00,19/02/2023 13:00,463
19/02/2023 13:00,19/02/2023 14:00,425
19/02/2023 14:00,19/02/2023 15:00,440
19/02/2023 15:00,19/02/2023 16:00,417
19/02/2023 16:00,19/02/2023 17:00,387
19/02/2023 17:00,19/02/2023 18:00,479
19/02/2023 18:00,19/02/2023 19:00,555
19/02/2023 19:00,19/02/2023 20:00,704
19/02/2023 20:00,19/02/2023 21:00,673
19/02/2023 21:00,19/02/2023 22:00,693
19/02/2023 22:00,19/02/2023 23:00,742
19/02/2023 23:00,20/02/2023 00:00,780
20/02/2023 00:00,20/02/2023 01:00,875
20/02/2023 01:00,20/02/2023 02:00,953
20/02/2023 02:00,20/02/2023 03:00,922
20/02/2023 03:00,20/02/2023 04:00,873
20/02/2023 04:00,20/02/2023 05:00,921
20/02/2023 05:00,20/02/2023 06:00,946
20/02/2023 06:00,20/02/2023 07:00,941
20/02/2023 07:00,20/02/2023 08:00,1127
20/02/2023 08:00,20/02/2023 09:00,1312
20/02/2023 09:00,20/02/2023 10:00,1448
20/02/2023 10:00,20/02/2023 11:00,1355
20/02/2023 11:00,20/02/2023 12:00,1211
20/02/2023 12:00,20/02/2023 13:00,1167
20/02/2023 13:00,20/02/2023 14:00,1215
20/02/2023 14:00,20/02/2023 15:00,1265
20/02/2023 15:00,20/02/2023 16:00,1461
20/02/2023 16:00,20/02/2023 17:00,1618
20/02/2023 17:00,20/02/2023 18:00,1663
20/02/2023 18:00,20/02/2023 19:00,1787
20/02/2023 19:00,20/02/2023 20:00,1880
20/02/2023 20:00,20/02/2023 21:00,1886
20/02/2023 21:00,20/02/2023 22:00,1821
20/02/2023 22:00,20/02/2023 23:00,1637
20/02/2023 23:00,21/02/2023 00:00,1425
21/02/2023 00:00,21/02/2023 01:00,1205
21/02/2023 01:00,21/02/2023 02:00,987
21/02/2023 02:00,21/02/2023 03:00,925
21/02/2023 03:00,21/02/2023 04:00,964
21/02/2023 04:00,21/02/2023 05:00,1038
21/02/2023 05:00,21/02/2023 06:00,1115
21/02/2023 06:00,21/02/2023 07:00,1062
21/02/2023 07:00,21/02/2023 08:00,1050
21/02/2023 08:00,21/02/2023 09:00,954
21/02/2023 09:00,21/02/2023 10:00,861
21/02/2023 10:00,21/02/2023 11:00,660
21/02/2023 11:00,21/02/2023 12:00,399
21/02/2023 12:00,21/02/2023 13:00,176
21/02/2023 13:00,21/02/2023 14:00,115
21/02/2023 14:00,21/02/2023 15:00,125
21/02/2023 15:00,21/02/2023 16:00,110
21/02/2023 16:00,21/02/2023 17:00,109
21/02/2023 17:00,21/02/2023 18:00,181
21/02/2023 18:00,21/02/2023 19:00,328
21/02/2023 19:00,21/02/2023 20:00,569
21/02/2023 20:00,21/02/2023 21:00,622
