StartTime,EndTime,WindPowerGeneration
17/04/2023 15:00,17/04/2023 16:00,409
17/04/2023 16:00,17/04/2023 17:00,481
17/04/2023 17:00,17/04/2023 18:00,572
17/04/2023 18:00,17/04/2023 19:00,644
17/04/2023 19:00,17/04/2023 20:00,684
17/04/2023 20:00,17/04/2023 21:00,803
17/04/2023 21:00,17/04/2023 22:00,1225
17/04/2023 22:00,17/04/2023 23:00,1720
17/04/2023 23:00,18/04/2023 00:00,2135
18/04/2023 00:00,18/04/2023 01:00,2014
18/04/2023 01:00,18/04/2023 02:00,1933
18/04/2023 02:00,18/04/2023 03:00,2128
18/04/2023 03:00,18/04/2023 04:00,2222
18/04/2023 04:00,18/04/2023 05:00,2331
18/04/2023 05:00,18/04/2023 06:00,2364
18/04/2023 06:00,18/04/2023 07:00,2230
18/04/2023 07:00,18/04/2023 08:00,1840
18/04/2023 08:00,18/04/2023 09:00,1182
18/04/2023 09:00,18/04/2023 10:00,499
18/04/2023 10:00,18/04/2023 11:00,429
18/04/2023 11:00,18/04/2023 12:00,894
18/04/2023 12:00,18/04/2023 13:00,1314
18/04/2023 13:00,18/04/2023 14:00,1493
18/04/2023 14:00,18/04/2023 15:00,1518
18/04/2023 15:00,18/04/2023 16:00,1469
18/04/2023 16:00,18/04/2023 17:00,1385
18/04/2023 17:00,18/04/2023 18:00,1284
18/04/2023 18:00,18/04/2023 19:00,1238
18/04/2023 19:00,18/04/2023 20:00,1201
18/04/2023 20:00,18/04/2023 21:00,1220
18/04/2023 21:00,18/04/2023 22:00,1459
18/04/2023 22:00,18/04/2023 23:00,1588
18/04/2023 23:00,19/04/2023 00:00,1528
19/04/2023 00:00,19/04/2023 01:00,1421
19/04/2023 01:00,19/04/2023 02:00,1211
19/04/2023 02:00,19/04/2023 03:00,1077
19/04/2023 03:00,19/04/2023 04:00,853
19/04/2023 04:00,19/04/2023 05:00,681
19/04/2023 05:00,19/04/2023 06:00,704
19/04/2023 06:00,19/04/2023 07:00,819
19/04/2023 07:00,19/04/2023 08:00,966
19/04/2023 08:00,19/04/2023 09:00,1022
19/04/2023 09:00,19/04/2023 10:00,816
19/04/2023 10:00,19/04/2023 11:00,581
19/04/2023 11:00,19/04/2023 12:00,612
19/04/2023 12:00,19/04/2023 13:00,796
19/04/2023 13:00,19/04/2023 14:00,953
19/04/2023 14:00,19/04/2023 15:00,989
19/04/2023 15:00,19/04/2023 16:00,1077
19/04/2023 16:00,19/04/2023 17:00,1103
19/04/2023 17:00,19/04/2023 18:00,1121
19/04/2023 18:00,19/04/2023 19:00,1020
19/04/2023 19:00,19/04/2023 20:00,1092
19/04/2023 20:00,19/04/2023 21:00,1280
19/04/2023 21:00,19/04/2023 22:00,1679
19/04/2023 22:00,19/04/2023 23:00,1927
19/04/2023 23:00,20/04/2023 00:00,2034
20/04/2023 00:00,20/04/2023 01:00,1962
20/04/2023 01:00,20/04/2023 02:00,1695
20/04/2023 02:00,20/04/2023 03:00,1560
20/04/2023 03:00,20/04/2023 04:00,1615
20/04/2023 04:00,20/04/2023 05:00,1762
20/04/2023 05:00,20/04/2023 06:00,1831
20/04/2023 06:00,20/04/2023 07:00,1927
20/04/2023 07:00,20/04/2023 08:00,1761
20/04/2023 08:00,20/04/2023 09:00,1462
20/04/2023 09:00,20/04/2023 10:00,859
20/04/2023 10:00,20/04/2023 11:00,611
20/04/2023 11:00,20/04/2023 12:00,617
20/04/2023 12:00,20/04/2023 13:00,602
20/04/2023 13:00,20/04/2023 14:00,630
20/04/2023 14:00,20/04/2023 15:00,657
20/04/2023 15:00,20/04/2023 16:00,658
20/04/2023 16:00,20/04/2023 17:00,716
20/04/2023 17:00,20/04/2023 18:00,758
20/04/2023 18:00,20/04/2023 19:00,834
20/04/2023 19:00,20/04/2023 20:00,1031
20/04/2023 20:00,20/04/2023 21:00,1426
20/04/2023 21:00,20/04/2023 22:00,1899
20/04/2023 22:00,20/04/2023 23:00,2108
20/04/2023 23:00,21/04/2023 00:00,2268
21/04/2023 00:00,21/04/2023 01:00,2382
21/04/2023 01:00,21/04/2023 02:00,2360
21/04/2023 02:00,21/04/2023 03:00,2151
21/04/2023 03:00,21/04/2023 04:00,1764
21/04/2023 04:00,21/04/2023 05:00,1317
21/04/2023 05:00,21/04/2023 06:00,1037
21/04/2023 06:00,21/04/2023 07:00,1027
21/04/2023 07:00,21/04/2023 08:00,901
21/04/2023 08:00,21/04/2023 09:00,450
21/04/2023 09:00,21/04/2023 10:00,116
21/04/2023 10:00,21/04/2023 11:00,93
21/04/2023 11:00,21/04/2023 12:00,179
21/04/2023 12:00,21/04/2023 13:00,307
21/04/2023 13:00,21/04/2023 14:00,388
21/04/2023 14:00,21/04/2023 15:00,442
21/04/2023 15:00,21/04/2023 16:00,515
21/04/2023 16:00,21/04/2023 17:00,491
21/04/2023 17:00,21/04/2023 18:00,465
21/04/2023 18:00,21/04/2023 19:00,481
21/04/2023 19:00,21/04/2023 20:00,611
21/04/2023 20:00,21/04/2023 21:00,999
21/04/2023 21:00,21/04/2023 22:00,1597
21/04/2023 22:00,21/04/2023 23:00,2197
21/04/2023 23:00,22/04/2023 00:00,2620
22/04/2023 00:00,22/04/2023 01:00,2877
22/04/2023 01:00,22/04/2023 02:00,3063
22/04/2023 02:00,22/04/2023 03:00,2846
22/04/2023 03:00,22/04/2023 04:00,2273
22/04/2023 04:00,22/04/2023 05:00,1814
22/04/2023 05:00,22/04/2023 06:00,1869
22/04/2023 06:00,22/04/2023 07:00,2207
22/04/2023 07:00,22/04/2023 08:00,1893
22/04/2023 08:00,22/04/2023 09:00,1266
22/04/2023 09:00,22/04/2023 10:00,1019
22/04/2023 10:00,22/04/2023 11:00,1030
22/04/2023 11:00,22/04/2023 12:00,1122
22/04/2023 12:00,22/04/2023 13:00,1168
22/04/2023 13:00,22/04/2023 14:00,1191
22/04/2023 14:00,22/04/2023 15:00,1218
22/04/2023 15:00,22/04/2023 16:00,1325
22/04/2023 16:00,22/04/2023 17:00,1386
22/04/2023 17:00,22/04/2023 18:00,1246
22/04/2023 18:00,22/04/2023 19:00,1107
22/04/2023 19:00,22/04/2023 20:00,891
